;link;room;area;floor;all_floors;subway;sub_time;address;price
0;https://www.mirkvartir.ru/304161141/;2;60.0;1;4;-;-;Москва, Первомайское поселение, д. Горчаково, Школьная ул., 7к2;9100000
1;https://www.mirkvartir.ru/294901275/;3;70.0;3;26;Селигерская;7;Москва, Дмитровское ш., 73Б;25300000
2;https://www.mirkvartir.ru/304631968/;2;46.0;4;9;Волжская;10;Москва, ул. Полбина, 42;15100000
3;https://www.mirkvartir.ru/298724600/;1;44.0;3;22;Молодежная;10;Москва, Истринская ул., 6;13000000
4;https://www.mirkvartir.ru/302081332/;4;176.0;24;48;Проспект Вернадского;10;Москва, Ленинский пр-кт, 111к1;135000000
5;https://www.mirkvartir.ru/303659921/;1;38.6;17;17;Медведково;-;Москва, Стартовая ул., 35;10500000
6;https://www.mirkvartir.ru/268560904/;1;261.0;13;16;Электрозаводская;15;Москва, ул. Короленко, 5;104400000
7;https://www.mirkvartir.ru/295895607/;4;89.3;3;6;Смоленская;3;Москва, пер. Плотников, 10;62500000
8;https://www.mirkvartir.ru/292127796/;6;259.6;6;8;Студенческая;-;Москва, пер. Ростовский 7-й, 11;139436640
9;https://www.mirkvartir.ru/304460022/;3;68.0;5;14;Новые Черемушки;-;Москва, Профсоюзная ул., 43к2;15300554
10;https://www.mirkvartir.ru/304196490/;4;62.0;7;9;Новоясеневская;6;Москва, ул. Паустовского, 34;17200000
11;https://www.mirkvartir.ru/304670444/;3;64.0;4;12;Орехово;7;Москва, Домодедовская ул., 24к1стр2;15000000
12;https://www.mirkvartir.ru/304229621/;-;16.0;2;5;Измайловская;12;Москва, ул. Верхняя Первомайская, 45а;5100000
13;https://www.mirkvartir.ru/286273307/;3;77.6;2;21;Пионерская;1;Москва, ул. Нижние Мневники, 37Астр7;28800000
14;https://www.mirkvartir.ru/292490181/;-;27.0;5;43;Тимирязевская;7;Москва, ул. Хуторская 2-я, 34;12000000
15;https://www.mirkvartir.ru/292736131/;1;37.4;6;9;Коломенская;17;Москва, наб. Марка Шагала, 34к2;14900000
16;https://www.mirkvartir.ru/299832618/;1;40.8;13;30;Мичуринский проспект;17;Москва, ул. Лобачевского, 120к2;21100000
17;https://www.mirkvartir.ru/297753725/;2;72.0;20;21;Щукинская;14;Москва, Щукинская ул., 7;28500000
18;https://www.mirkvartir.ru/299634968/;1;37.7;22;28;Площадь Ильича;-;Москва, ул. Золоторожский Вал, 11стр33;14200000
19;https://www.mirkvartir.ru/302865542/;3;77.7;4;18;Ольховая;-;Москва, Мостовая ул., 5к1;13900000
20;https://www.mirkvartir.ru/301874852/;2;42.0;11;17;Митино;-;Москва, Молжаниновская ул., влд1;11400000
21;https://www.mirkvartir.ru/295334196/;-;33.8;12;22;Беговая;12;Москва, ул. Магистральная 1-я, 25А;8600000
22;https://www.mirkvartir.ru/302638403/;2;53.7;9;17;-;-;Москва, пр-кт Нововатутинский (п.Десеновское), 8;11000000
23;https://www.mirkvartir.ru/301409437/;-;28.0;4;13;Теплый Стан;-;Москва, пр-кт Нововатутинский (п.Десеновское), 8стр1;7250000
24;https://www.mirkvartir.ru/302865726/;3;78.3;16;17;-;-;Москва, пр-кт Нововатутинский (п.Десеновское), 11;13999999
25;https://www.mirkvartir.ru/302191791/;-;27.2;9;9;Коломенская;10;Москва, пр-кт Лихачева, 14;13200000
26;https://www.mirkvartir.ru/296364316/;3;74.0;5;23;Площадь Ильича;18;Москва, ул. Золоторожский Вал, 11стр7;33900000
27;https://www.mirkvartir.ru/303603080/;2;55.0;11;16;Лухмановская;14;Москва, ул. Татьяны Макаровой, 10;15300000
28;https://www.mirkvartir.ru/304196493/;3;83.0;8;8;Нагорная;10;Москва, Каширский проезд, 1/1;20500000
29;https://www.mirkvartir.ru/298585919/;4;321.1;4;5;Театральная;-;Москва, ул. Покровка;106517242
30;https://www.mirkvartir.ru/298816474/;2;35.7;6;12;Кожуховская;-;Москва, Шарикоподшипниковская ул., влд11;14290000
31;https://www.mirkvartir.ru/301434648/;1;35.9;12;17;-;-;Москва, пр-кт Нововатутинский (п.Десеновское), 10;7500000
32;https://www.mirkvartir.ru/303246085/;227;331.0;-;-;Новохохловская;-;Москва, Газгольдерная ул., 8стр2;8400000
33;https://www.mirkvartir.ru/304196495/;2;53.7;16;17;Балтийская;15;Москва, ул. Клары Цеткин, 29;16500000
34;https://www.mirkvartir.ru/294280729/;1;37.2;8;15;Бульвар Адмирала Ушакова;-;Москва, Волоколамское ш., 15/222;7700000
35;https://www.mirkvartir.ru/293019152/;2;44.0;9;16;Филатов Луг;12;Москва, с/п Сосенское, кв-л № 26, 2к1;11950000
36;https://www.mirkvartir.ru/294215482/;2;35.3;16;25;Тушинская;-;Москва, Новорижское ш., к1.1;9950000
37;https://www.mirkvartir.ru/291768330/;2;54.3;12;15;Прокшино;15;Москва, б-р Веласкеса, к8.1;12750000
38;https://www.mirkvartir.ru/299635663/;2;59.21;13;14;Бульвар Адмирала Ушакова;-;Москва, Остафьевское ш., 12к1;12400000
39;https://www.mirkvartir.ru/299424425/;2;40.3;7;14;Бачуринская;-;Москва, с/п Сосенское, Скандинавский б-р, 8;8900000
40;https://www.mirkvartir.ru/302104856/;2;55.1;16;23;Тропарёво;-;Москва, поселение Мосрентген, д. Дудкино, Цветочная ул., к1.2;14000000
